    0.000000 start
    4.338944 read initial snapshot
  702.742817 have memory trace of crashed thread
  702.745099 built rip trace
  702.745144 have proximal cause
  702.816166 rendered cmn for {7f860d33f96a;7f860d33acf6;7f860d344eca;c8229c;}9:7f860d36872c
  702.816522 built cmn for {7f860d33f96a;7f860d33acf6;7f860d344eca;c8229c;}9:7f860d368729
  702.816641 rendered cmn for {7f860d33f96a;7f860d33acf6;7f860d344eca;c8229c;}9:7f860d368729
  702.818388 built cmn for {7f860d368729;7f860d33f96a;7f860d33acf6;7f860d344eca;c8229c;}9:7f860d3688b0
  702.819315 rendered cmn for {7f860d368729;7f860d33f96a;7f860d33acf6;7f860d344eca;c8229c;}9:7f860d3688b0
  702.820547 built cmn for {7f860d368729;7f860d33f96a;7f860d33acf6;7f860d344eca;c8229c;}9:7f860d3688ae
  702.821309 rendered cmn for {7f860d368729;7f860d33f96a;7f860d33acf6;7f860d344eca;c8229c;}9:7f860d3688ae
  702.822555 built cmn for {7f860d368729;7f860d33f96a;7f860d33acf6;7f860d344eca;c8229c;}9:7f860d3688ac
  702.823322 rendered cmn for {7f860d368729;7f860d33f96a;7f860d33acf6;7f860d344eca;c8229c;}9:7f860d3688ac
  702.824556 built cmn for {7f860d368729;7f860d33f96a;7f860d33acf6;7f860d344eca;c8229c;}9:7f860d3688ab
  702.825336 rendered cmn for {7f860d368729;7f860d33f96a;7f860d33acf6;7f860d344eca;c8229c;}9:7f860d3688ab
  702.827354 built cmn for {7f860d368729;7f860d33f96a;7f860d33acf6;7f860d344eca;c8229c;}9:7f860d3688aa
  702.829529 rendered cmn for {7f860d368729;7f860d33f96a;7f860d33acf6;7f860d344eca;c8229c;}9:7f860d3688aa
  702.830622 built cmn for {7f860d368729;7f860d33f96a;7f860d33acf6;7f860d344eca;c8229c;}9:7f860d3688a7
  702.831295 rendered cmn for {7f860d368729;7f860d33f96a;7f860d33acf6;7f860d344eca;c8229c;}9:7f860d3688a7
  702.834736 built cmn for {7f860d368729;7f860d33f96a;7f860d33acf6;7f860d344eca;c8229c;}9:7f860d3688a3
  702.834863 rendered cmn for {7f860d368729;7f860d33f96a;7f860d33acf6;7f860d344eca;c8229c;}9:7f860d3688a3
  702.835946 built cmn for {7f860d368729;7f860d33f96a;7f860d33acf6;7f860d344eca;c8229c;}9:7f860d368895
  702.836124 rendered cmn for {7f860d368729;7f860d33f96a;7f860d33acf6;7f860d344eca;c8229c;}9:7f860d368895
  702.837174 built cmn for {7f860d368729;7f860d33f96a;7f860d33acf6;7f860d344eca;c8229c;}9:7f860d368892
  702.837350 rendered cmn for {7f860d368729;7f860d33f96a;7f860d33acf6;7f860d344eca;c8229c;}9:7f860d368892
  702.838027 built cmn for {7f860d368729;7f860d33f96a;7f860d33acf6;7f860d344eca;c8229c;}9:7f860d36888a
  702.838770 rendered cmn for {7f860d368729;7f860d33f96a;7f860d33acf6;7f860d344eca;c8229c;}9:7f860d36888a
  702.839498 built cmn for {7f860d368729;7f860d33f96a;7f860d33acf6;7f860d344eca;c8229c;}9:7f860d3688be
  702.840089 rendered cmn for {7f860d368729;7f860d33f96a;7f860d33acf6;7f860d344eca;c8229c;}9:7f860d3688be
  702.841434 built cmn for {7f860d368729;7f860d33f96a;7f860d33acf6;7f860d344eca;c8229c;}9:7f860d3688bb
  702.841610 rendered cmn for {7f860d368729;7f860d33f96a;7f860d33acf6;7f860d344eca;c8229c;}9:7f860d3688bb
  702.842181 built cmn for {7f860d368729;7f860d33f96a;7f860d33acf6;7f860d344eca;c8229c;}9:7f860d3688b8
  702.843458 rendered cmn for {7f860d368729;7f860d33f96a;7f860d33acf6;7f860d344eca;c8229c;}9:7f860d3688b8
